Date,Total Revenue,Cost of Revenue,Gross Profit,Premium Revenue,Premium Cost Revenue,Premium Gross Profit,Ad Revenue,Ad Cost of revenue,Ad gross Profit,MAUs,Premium MAUs,Ad MAUs,Premium ARPU,Sales and Marketing Cost,Research and Development Cost,General and Adminstrative Cost
31-03-2023,3042.0,2276.0,776.0,2713.0,1937.0,776.0,329.0,339.0,-10.0,515.0,210.0,317.0,4.32,347.0,435.0,140.0
31-12-2022,3166.0,2365.0,801.0,2717.0,1939.0,778.0,449.0,426.0,23.0,489.0,205.0,295.0,4.55,453.0,415.0,164.0
30-09-2022,3036.0,2286.0,750.0,2651.0,1908.0,743.0,385.0,378.0,7.0,456.0,195.0,273.0,4.63,432.0,386.0,160.0
30-06-2022,2864.0,2160.0,704.0,2504.0,1804.0,700.0,360.0,356.0,4.0,433.0,188.0,265.0,4.54,391.0,336.0,171.0
31-03-2022,2661.0,1990.0,671.0,2379.0,1704.0,675.0,282.0,286.0,-4.0,422.0,182.0,252.0,4.38,296.0,250.0,131.0
31-12-2021,2689.0,1977.0,712.0,2295.0,1625.0,670.0,394.0,352.0,42.0,406.0,180.0,236.0,4.4,340.0,253.0,126.0
30-09-2021,2501.0,1833.0,668.0,2178.0,1545.0,633.0,323.0,288.0,35.0,381.0,172.0,220.0,4.34,280.0,208.0,105.0
30-06-2021,2331.0,1668.0,663.0,2056.0,1423.0,633.0,275.0,245.0,30.0,365.0,165.0,210.0,4.29,279.0,255.0,117.0
31-03-2021,2147.0,1599.0,548.0,1931.0,1393.0,538.0,216.0,206.0,10.0,356.0,158.0,208.0,4.12,236.0,196.0,102.0
31-12-2020,2168.0,1593.0,575.0,1887.0,1342.0,545.0,281.0,251.0,30.0,345.0,155.0,199.0,4.26,294.0,232.0,118.0
30-09-2020,1975.0,1486.0,489.0,1790.0,1302.0,488.0,185.0,184.0,1.0,320.0,144.0,185.0,4.19,256.0,176.0,97.0
30-06-2020,1889.0,1410.0,479.0,1758.0,1263.0,495.0,131.0,147.0,-16.0,299.0,138.0,170.0,4.41,248.0,267.0,131.0
31-03-2020,1848.0,1376.0,472.0,1700.0,1219.0,481.0,148.0,157.0,-9.0,286.0,130.0,163.0,4.42,231.0,162.0,96.0
31-12-2019,1855.0,1381.0,474.0,1638.0,1189.0,449.0,217.0,192.0,25.0,271.0,124.0,153.0,4.65,276.0,173.0,102.0
30-09-2019,1731.0,1290.0,441.0,1561.0,1142.0,419.0,170.0,148.0,22.0,248.0,113.0,141.0,4.67,178.0,136.0,73.0
30-06-2019,1667.0,1233.0,434.0,1502.0,1089.0,413.0,165.0,144.0,21.0,232.0,108.0,129.0,4.86,200.0,151.0,86.0
31-03-2019,1511.0,1138.0,373.0,1385.0,1023.0,362.0,126.0,115.0,11.0,217.0,100.0,123.0,4.71,172.0,155.0,93.0
31-12-2018,1495.0,1096.0,399.0,1320.0,959.0,361.0,175.0,147.0,28.0,207.0,96.0,116.0,4.89,163.0,100.0,42.0
30-09-2018,1352.0,1010.0,342.0,1210.0,894.0,316.0,142.0,116.0,26.0,191.0,87.0,109.0,4.73,146.0,135.0,67.0
30-06-2018,1273.0,944.0,329.0,1150.0,841.0,309.0,123.0,103.0,20.0,180.0,83.0,101.0,4.89,173.0,143.0,103.0
31-03-2018,1139.0,856.0,283.0,1037.0,767.0,270.0,102.0,89.0,13.0,170.0,75.0,99.0,4.72,138.0,115.0,71.0
31-12-2017,1449.0,867.0,582.0,1018.0,761.0,257.0,130.0,106.0,24.0,160.0,71.0,93.0,5.24,173.0,123.0,73.0
30-09-2017,1032.0,802.0,230.0,923.0,711.0,212.0,109.0,91.0,18.0,150.0,62.0,91.0,5.06,138.0,98.0,67.0
30-06-2017,1007.0,775.0,232.0,904.0,686.0,218.0,103.0,89.0,14.0,138.0,59.0,83.0,5.53,146.0,95.0,70.0
31-03-2017,902.0,797.0,105.0,828.0,710.0,118.0,74.0,87.0,-13.0,131.0,52.0,82.0,5.46,110.0,80.0,54.0
31-12-2016,,,,,,,,,,,,,6.0,,,
